scenario_id,intent,tone,A_fact_recall,A_tone_alignment,A_fluency,A_composite,B_fact_recall,B_tone_alignment,B_fluency,B_composite,Human_fact_recall,Human_tone_alignment,Human_fluency,Human_composite
1,Follow up after a job interview,Professional enthusiastic,0.857,0.875,0.833,0.855,0.714,0.625,0.667,0.669,1.0,1.0,0.944,0.981
2,Request an extension on a project deadline,Apologetic professional,0.833,0.875,0.889,0.866,0.667,0.625,0.722,0.671,1.0,1.0,0.944,0.981
3,Introduce a new team member to the company,Warm friendly professional,0.857,0.875,0.778,0.837,0.714,0.750,0.667,0.710,1.0,1.0,1.0,1.0
4,Send a proposal to a potential client,Confident persuasive professional,0.800,0.875,0.889,0.855,0.600,0.625,0.722,0.649,1.0,1.0,0.944,0.981
5,Notify a client about a pricing change,Formal transparent empathetic,0.833,0.875,0.833,0.847,0.667,0.500,0.667,0.611,1.0,1.0,0.944,0.981
6,Invite colleagues to a team offsite,Excited casual friendly,0.857,0.875,0.722,0.818,0.714,0.625,0.611,0.650,1.0,1.0,0.889,0.963
7,Request a refund from a vendor,Assertive professional,0.800,0.875,0.889,0.855,0.600,0.750,0.722,0.691,1.0,1.0,1.0,1.0
8,Congratulate a colleague on a promotion,Warm genuine personal,0.750,0.875,0.778,0.801,0.500,0.625,0.611,0.579,1.0,1.0,1.0,1.0
9,Follow up on an unanswered proposal,Polite persistent professional,0.833,0.875,0.833,0.847,0.667,0.625,0.722,0.671,1.0,1.0,0.944,0.981
10,Inform a team about a system maintenance window,Informative clear calm,0.857,0.875,0.889,0.874,0.714,0.750,0.722,0.729,1.0,1.0,0.944,0.981
AVERAGE,,, 0.828,0.875,0.833,0.845,0.656,0.650,0.683,0.663,1.0,1.0,0.955,0.985
